"","MAE1","Cov1","CIW1","MAE2","Cov2","CIW2","MAE3","Cov3","CIW3","MAE4","Cov4","CIW4"
"T=10",0.323332449587693,0.82,0.857245562237071,0.0471348231847675,0.62,0.0896725590518919,0.0491203465541397,0.94,0.282541978631831,0.25058738352309,0.94,0.969612816417165
"T=20",0.101041181482833,0.88,0.347782965753145,0.00543556420977052,0.68,0.0142890631396435,0.0307348811110323,0.82,0.1058596483099,0.126496018363679,0.82,0.436660604724302
"T=30",0.0780796785323735,0.8,0.248516421330452,0.00245644949183684,0.76,0.00700563579949843,0.0298262478861547,0.62,0.0763963786040498,0.07890333516281,0.9,0.321391943091029
"T=40",0.0667275302332035,0.82,0.201415689518926,0.0017650295670566,0.8,0.00515295624640508,0.022007567537788,0.74,0.0630985806067615,0.0595666907053244,0.96,0.269238881411594
